id,value
0_Computer Science,14328904
0_Computer Science.1_Algorithm,533707
0_Computer Science.1_Algorithm.2_Vicious circle principle,51
0_Computer Science.1_Algorithm.2_Asymmetric C-element,2
0_Computer Science.1_Algorithm.2_Pocklington's algorithm,1
0_Computer Science.1_Algorithm.2_Reservehandverfahren,4
0_Computer Science.1_Algorithm.2_Switching circuit theory,29
0_Computer Science.1_Algorithm.2_Pépin's test,2
0_Computer Science.1_Algorithm.2_Set splitting problem,15
0_Computer Science.1_Algorithm.2_Kleene star,523
0_Computer Science.1_Algorithm.2_Difference-map algorithm,2394
0_Computer Science.1_Algorithm.2_Embedded Zerotrees of Wavelet transforms,2
0_Computer Science.1_Algorithm.2_Propagation time,2823
0_Computer Science.1_Algorithm.2_Parent-teacher conference,67
0_Computer Science.1_Algorithm.2_Proth's theorem,2
0_Computer Science.1_Algorithm.2_Overlapping subproblems,262
0_Computer Science.1_Algorithm.2_Algorithmic logic,133
0_Computer Science.1_Algorithm.2_Boolean expression,4738
0_Computer Science.1_Algorithm.2_EXPTIME,595
0_Computer Science.1_Algorithm.2_RANDU,166
0_Computer Science.1_Algorithm.2_Held–Karp algorithm,2
0_Computer Science.1_Algorithm.2_Colossus computer,718
0_Computer Science.1_Algorithm.2_Great Cipher,1
0_Computer Science.1_Algorithm.2_Tell-tale,61
0_Computer Science.1_Algorithm.2_Square of opposition,196
0_Computer Science.1_Algorithm.2_Quantum algorithm,18754
0_Computer Science.1_Algorithm.2_Precomputation,1117
0_Computer Science.1_Algorithm.2_Wang B-machine,1
0_Computer Science.1_Algorithm.2_Chaitin's algorithm,2
0_Computer Science.1_Algorithm.2_Dry run,212
0_Computer Science.1_Algorithm.2_Inet,450
0_Computer Science.1_Algorithm.2_Certificate,24017
0_Computer Science.1_Algorithm.2_Abstract machine,2596
0_Computer Science.1_Algorithm.2_Gabbay's separation theorem,1
0_Computer Science.1_Algorithm.2_Semicomputable function,2
0_Computer Science.1_Algorithm.2_Abstract logic,124
0_Computer Science.1_Algorithm.2_Computation in the limit,2
0_Computer Science.1_Algorithm.2_Variance Adaptive Quantization,1
0_Computer Science.1_Algorithm.2_Most frequent k characters,2
0_Computer Science.1_Algorithm.2_Bonse's inequality,2
0_Computer Science.1_Algorithm.2_In shuffle,57
0_Computer Science.1_Algorithm.2_Sieve of Sundaram,3
0_Computer Science.1_Algorithm.2_Symbolic Cholesky decomposition,2
0_Computer Science.1_Algorithm.2_Charging argument,6
0_Computer Science.1_Algorithm.2_Tree structure,13606
0_Computer Science.1_Algorithm.2_Agda,357
0_Computer Science.1_Algorithm.2_Cycle sort,1
0_Computer Science.1_Algorithm.2_CHESS model checker,1
0_Computer Science.1_Algorithm.2_Binary search tree,1673
0_Computer Science.1_Algorithm.2_Burrows–Abadi–Needham logic,3
0_Computer Science.1_Algorithm.2_Ducci sequence,7
0_Computer Science.1_Algorithm.2_Gödel's incompleteness theorems,954
0_Computer Science.1_Algorithm.2_Statistical Lempel–Ziv,3
0_Computer Science.1_Algorithm.2_Selection algorithm,6735
0_Computer Science.1_Algorithm.2_Electronic Colloquium on Computational Complexity,15
0_Computer Science.1_Algorithm.2_A* search algorithm,4185
0_Computer Science.1_Algorithm.2_Hazard (logic),57
0_Computer Science.1_Algorithm.2_McCarthy 91 function,3
0_Computer Science.1_Algorithm.2_Addition-chain exponentiation,4
0_Computer Science.1_Algorithm.2_Many-sorted logic,57
0_Computer Science.1_Algorithm.2_NewPGen,1
0_Computer Science.1_Algorithm.2_Cipher disk,4
0_Computer Science.1_Algorithm.2_Skew binomial heap,3
0_Computer Science.1_Algorithm.2_ESPACE,21628
0_Computer Science.1_Algorithm.2_SMA*,106151
0_Computer Science.1_Algorithm.2_Strassen algorithm,2080
0_Computer Science.1_Algorithm.2_Hierarchical closeness,3
0_Computer Science.1_Algorithm.2_CEILIDH,109
0_Computer Science.1_Algorithm.2_B-tree,776
0_Computer Science.1_Algorithm.2_Digital signature forgery,2
0_Computer Science.1_Algorithm.2_Disjunctive normal form,740
0_Computer Science.1_Algorithm.2_Knapsack problem,7363
0_Computer Science.1_Algorithm.2_Apple Video,10
0_Computer Science.1_Algorithm.2_Branch and bound,10482
0_Computer Science.1_Algorithm.2_Monad (functional programming),3892
0_Computer Science.1_Algorithm.2_Linear logic,2307
0_Computer Science.1_Algorithm.2_Chan's algorithm,3
0_Computer Science.1_Algorithm.2_Magicicada tredecula,2
0_Computer Science.1_Algorithm.2_Quadratic growth,3174
0_Computer Science.1_Algorithm.2_Baguenaudier,11
0_Computer Science.1_Algorithm.2_SPEKE,232
0_Computer Science.1_Algorithm.2_Digital physics,116
0_Computer Science.1_Algorithm.2_Logical connective,987
0_Computer Science.1_Algorithm.2_Rule of thumb,3502
0_Computer Science.1_Algorithm.2_Elliptic curve only hash,1
0_Computer Science.1_Algorithm.2_Bifid cipher,2
0_Computer Science.1_Algorithm.2_Recursive ascent parser,1
0_Computer Science.1_Algorithm.2_Instant Insanity,28
0_Computer Science.1_Algorithm.2_Mersenne prime,1093
0_Computer Science.1_Algorithm.2_DSPACE,2368
0_Computer Science.1_Algorithm.2_Dijkstra's algorithm,5887
